food_category,food_name,per_100_ml_or_gm,cal_per_100_ml_or_gms,kj_per_100_ml_or_gms,per_serving,cal_per_serving,kj_per_serving,per_ounces,cal_per_ounces,kj_per_ounces
Alcoholic Drinks & Beverages,Advocaat,100ml,283 cal,1189 kJ,1 1/2 fl. oz. (44 ml),125 cal,523 kJ,1 fl. oz. (30 ml),85 cal,357 kJ
Alcoholic Drinks & Beverages,Amaretto,100ml,310 cal,1302 kJ,1 shot (25 ml),78 cal,326 kJ,1 fl. oz. (30 ml),93 cal,391 kJ
Alcoholic Drinks & Beverages,Applejack,100ml,233 cal,979 kJ,1 1/2 fl. oz. (44 ml),103 cal,431 kJ,1 fl. oz. (30 ml),70 cal,294 kJ
Alcoholic Drinks & Beverages,Asti,100ml,138 cal,580 kJ,1 glass (100 ml),138 cal,580 kJ,1 fl. oz. (30 ml),41 cal,174 kJ
Alcoholic Drinks & Beverages,Baileys,100ml,327 cal,1373 kJ,1 1/2 fl. oz. (44 ml),144 cal,604 kJ,1 fl. oz. (30 ml),98 cal,412 kJ
Alcoholic Drinks & Beverages,Bailey’s Irish Cream,100ml,327 cal,1373 kJ,1 1/2 fl. oz. (44 ml),144 cal,604 kJ,1 fl. oz. (30 ml),98 cal,412 kJ
Alcoholic Drinks & Beverages,Beer,100ml,43 cal,181 kJ,1 can (355 ml),153 cal,643 kJ,1 fl. oz. (30 ml),13 cal,54 kJ
Alcoholic Drinks & Beverages,Blue Curacao,100ml,243 cal,1021 kJ,1 fl. oz. (30 ml),73 cal,306 kJ,1 fl. oz. (30 ml),73 cal,306 kJ
Alcoholic Drinks & Beverages,Bourbon,100ml,233 cal,979 kJ,1 1/2 fl. oz. (44 ml),103 cal,431 kJ,1 fl. oz. (30 ml),70 cal,294 kJ
Alcoholic Drinks & Beverages,Brandy,100ml,213 cal,895 kJ,1 1/2 fl. oz. (44 ml),94 cal,394 kJ,1 fl. oz. (30 ml),64 cal,269 kJ
Alcoholic Drinks & Beverages,Canadian Whiskey,100ml,216 cal,907 kJ,1 1/2 fl. oz. (44 ml),95 cal,399 kJ,1 fl. oz. (30 ml),65 cal,272 kJ
Alcoholic Drinks & Beverages,Chambord,100ml,348 cal,1462 kJ,1 glass (150 ml),522 cal,2193 kJ,1 fl. oz. (30 ml),104 cal,439 kJ
Alcoholic Drinks & Beverages,Champagne,100ml,75 cal,315 kJ,1 glass (100 ml),75 cal,315 kJ,1 fl. oz. (30 ml),23 cal,95 kJ
Alcoholic Drinks & Beverages,Cider,100ml,49 cal,206 kJ,1 glass (150 ml),74 cal,309 kJ,1 fl. oz. (30 ml),15 cal,62 kJ
Alcoholic Drinks & Beverages,Cognac,100ml,235 cal,987 kJ,1 1/2 fl. oz. (44 ml),103 cal,434 kJ,1 fl. oz. (30 ml),71 cal,296 kJ
Alcoholic Drinks & Beverages,Cointreau,100ml,320 cal,1344 kJ,1 1/2 fl. oz. (44 ml),141 cal,591 kJ,1 fl. oz. (30 ml),96 cal,403 kJ
Alcoholic Drinks & Beverages,Drambuie,100ml,358 cal,1504 kJ,1 1/2 fl. oz. (44 ml),158 cal,662 kJ,1 fl. oz. (30 ml),107 cal,451 kJ
Alcoholic Drinks & Beverages,Frangelico,100ml,238 cal,1000 kJ,1 1/2 fl. oz. (44 ml),105 cal,440 kJ,1 fl. oz. (30 ml),71 cal,300 kJ
Alcoholic Drinks & Beverages,Gin,100ml,263 cal,1105 kJ,1 shot (25 ml),66 cal,276 kJ,1 fl. oz. (30 ml),79 cal,332 kJ
Alcoholic Drinks & Beverages,Glenfiddich,100ml,230 cal,966 kJ,1 1/2 fl. oz. (44 ml),101 cal,425 kJ,1 fl. oz. (30 ml),69 cal,290 kJ
Alcoholic Drinks & Beverages,Grand Marnier,100ml,253 cal,1063 kJ,1 1/2 fl. oz. (44 ml),111 cal,468 kJ,1 fl. oz. (30 ml),76 cal,319 kJ
Alcoholic Drinks & Beverages,Irish Whiskey,100ml,233 cal,979 kJ,1 1/2 fl. oz. (44 ml),103 cal,431 kJ,1 fl. oz. (30 ml),70 cal,294 kJ
Alcoholic Drinks & Beverages,Jack Daniel’s,100ml,146 cal,613 kJ,1 1/2 fl. oz. (44 ml),64 cal,270 kJ,1 fl. oz. (30 ml),44 cal,184 kJ
Alcoholic Drinks & Beverages,Jagermeister,100ml,250 cal,1050 kJ,1 shot (25 ml),63 cal,263 kJ,1 fl. oz. (30 ml),75 cal,315 kJ
Alcoholic Drinks & Beverages,Jim Beam,100ml,222 cal,932 kJ,1 1/2 fl. oz. (44 ml),98 cal,410 kJ,1 fl. oz. (30 ml),67 cal,280 kJ
Alcoholic Drinks & Beverages,Kahlua,100ml,180 cal,756 kJ,1 shot (25 ml),45 cal,189 kJ,1 fl. oz. (30 ml),54 cal,227 kJ
Alcoholic Drinks & Beverages,Liqueur,100ml,250 cal,1050 kJ,1 shot (25 ml),63 cal,263 kJ,1 fl. oz. (30 ml),75 cal,315 kJ
Alcoholic Drinks & Beverages,Liquor,100ml,250 cal,1050 kJ,1 shot (25 ml),63 cal,263 kJ,1 fl. oz. (30 ml),75 cal,315 kJ
Alcoholic Drinks & Beverages,Midori,100ml,267 cal,1121 kJ,1 fl. oz. (30 ml),80 cal,336 kJ,1 fl. oz. (30 ml),80 cal,336 kJ
Alcoholic Drinks & Beverages,Prosecco,100ml,66 cal,277 kJ,1 glass (100 ml),66 cal,277 kJ,1 fl. oz. (30 ml),20 cal,83 kJ
Alcoholic Drinks & Beverages,Punch,100ml,62 cal,260 kJ,1 cup (237 ml),147 cal,616 kJ,1 fl. oz. (30 ml),19 cal,78 kJ
Alcoholic Drinks & Beverages,Red Wine,100ml,85 cal,357 kJ,1 glass (150 ml),128 cal,536 kJ,1 fl. oz. (30 ml),26 cal,107 kJ
Alcoholic Drinks & Beverages,Rose Wine,100ml,71 cal,298 kJ,1 glass (150 ml),107 cal,447 kJ,1 fl. oz. (30 ml),21 cal,89 kJ
Alcoholic Drinks & Beverages,Rum,100ml,231 cal,970 kJ,1 1/2 fl. oz. (44 ml),102 cal,427 kJ,1 fl. oz. (30 ml),69 cal,291 kJ
Alcoholic Drinks & Beverages,Sambuca,100ml,333 cal,1399 kJ,1 shot (25 ml),83 cal,350 kJ,1 fl. oz. (30 ml),100 cal,420 kJ
Alcoholic Drinks & Beverages,Sangria,100ml,96 cal,403 kJ,1 glass (250 ml),240 cal,1008 kJ,1 fl. oz. (30 ml),29 cal,121 kJ
Alcoholic Drinks & Beverages,Scotch,100ml,222 cal,932 kJ,1 1/2 fl. oz. (44 ml),98 cal,410 kJ,1 fl. oz. (30 ml),67 cal,280 kJ
Alcoholic Drinks & Beverages,Sherry,100ml,116 cal,487 kJ,1 1/2 fl. oz. (44 ml),51 cal,214 kJ,1 fl. oz. (30 ml),35 cal,146 kJ
Alcoholic Drinks & Beverages,Sloe Gin,100ml,332 cal,1394 kJ,1 shot (25 ml),83 cal,349 kJ,1 fl. oz. (30 ml),100 cal,418 kJ
Alcoholic Drinks & Beverages,Southern Comfort,100ml,247 cal,1037 kJ,1 1/2 fl. oz. (44 ml),109 cal,456 kJ,1 fl. oz. (30 ml),74 cal,311 kJ
Alcoholic Drinks & Beverages,Tequila,100ml,110 cal,462 kJ,1 shot (25 ml),28 cal,116 kJ,1 fl. oz. (30 ml),33 cal,139 kJ
Alcoholic Drinks & Beverages,Triple Sec,100ml,153 cal,643 kJ,1 glass (150 ml),230 cal,965 kJ,1 fl. oz. (30 ml),46 cal,193 kJ
Alcoholic Drinks & Beverages,Vermouth,100ml,130 cal,546 kJ,1 1/2 fl. oz. (44 ml),57 cal,240 kJ,1 fl. oz. (30 ml),39 cal,164 kJ
Alcoholic Drinks & Beverages,Vodka,100ml,231 cal,970 kJ,1 shot (25 ml),58 cal,243 kJ,1 fl. oz. (30 ml),69 cal,291 kJ
Alcoholic Drinks & Beverages,Whisky,100ml,250 cal,1050 kJ,1 1/2 fl. oz. (44 ml),110 cal,462 kJ,1 fl. oz. (30 ml),75 cal,315 kJ
Alcoholic Drinks & Beverages,White Wine,100ml,82 cal,344 kJ,1 glass (150 ml),123 cal,516 kJ,1 fl. oz. (30 ml),25 cal,103 kJ
Alcoholic Drinks & Beverages,Wine,100ml,83 cal,349 kJ,1 glass (150 ml),125 cal,524 kJ,1 fl. oz. (30 ml),25 cal,105 kJ
Baking Ingredients,Agar-Agar,100g,26 cal,109 kJ,1 tbsp (5 g),1 cal,5 kJ,1 oz. (28 g),7 cal,31 kJ
Baking Ingredients,Agave Syrup,100ml,310 cal,1302 kJ,1/4 cup (55 ml),171 cal,716 kJ,1 fl. oz. (30 ml),93 cal,391 kJ
Baking Ingredients,All Purpose Flour,100ml,364 cal,1529 kJ,1 cup (120 ml),437 cal,1835 kJ,1 fl. oz. (30 ml),109 cal,459 kJ
Baking Ingredients,Almond Extract,100ml,258 cal,1084 kJ,1 tbsp (8 ml),21 cal,87 kJ,1 fl. oz. (30 ml),77 cal,325 kJ
Baking Ingredients,Almonds,100g,529 cal,2222 kJ,1 cup (92 g),487 cal,2044 kJ,1 oz. (28 g),148 cal,622 kJ
Baking Ingredients,Apple Pie Filling,100g,100 cal,420 kJ,1 serving (60 g),60 cal,252 kJ,1 oz. (28 g),28 cal,118 kJ
Baking Ingredients,Baking Powder,100g,53 cal,223 kJ,1 tsp (4.6 g),2 cal,9 kJ,1 oz. (28 g),15 cal,62 kJ
Baking Ingredients,Baking Soda,100g,0 cal,0 kJ,1 tsp (4.6 g),0 cal,0 kJ,1 oz. (28 g),0 cal,0 kJ
Baking Ingredients,Bread Flour,100g,361 cal,1516 kJ,1 cup (137 g),495 cal,2077 kJ,1 oz. (28 g),101 cal,424 kJ
Baking Ingredients,Brittle,100g,592 cal,2486 kJ,1 oz. (28.4 g),166 cal,696 kJ,1 oz. (28 g),166 cal,696 kJ
Baking Ingredients,Brown Sugar,100g,395 cal,1659 kJ,1 cup (220 g),869 cal,3650 kJ,1 oz. (28 g),111 cal,465 kJ
Baking Ingredients,Buttermilk,100ml,62 cal,260 kJ,1 cup (245 ml),152 cal,637 kJ,1 fl. oz. (30 ml),19 cal,78 kJ
Baking Ingredients,Butterscotch Chips,100g,539 cal,2264 kJ,1 cup (170 g),916 cal,3849 kJ,1 oz. (28 g),151 cal,634 kJ
Baking Ingredients,Cake Flour,100g,362 cal,1520 kJ,1 cup (137 g),496 cal,2082 kJ,1 oz. (28 g),101 cal,426 kJ
Baking Ingredients,Candied Orange Peel,100g,97 cal,407 kJ,1 tbsp (6 g),6 cal,24 kJ,1 oz. (28 g),27 cal,114 kJ
Baking Ingredients,Cane Sugar,100g,387 cal,1625 kJ,1 tbsp (5 g),19 cal,81 kJ,1 oz. (28 g),108 cal,455 kJ
Baking Ingredients,Chocolate Chips,100g,467 cal,1961 kJ,1 tbsp (15 g),70 cal,294 kJ,1 oz. (28 g),131 cal,549 kJ
Baking Ingredients,Chocolate Sprinkles,100g,500 cal,2100 kJ,1 tbsp (5 g),25 cal,105 kJ,1 oz. (28 g),140 cal,588 kJ
Baking Ingredients,Cocoa Powder,100g,228 cal,958 kJ,1 tbsp (5.4 g),11 cal,48 kJ,1 oz. (28 g),64 cal,268 kJ
Baking Ingredients,Coconut Flakes,100g,456 cal,1915 kJ,1 cup (85 g),388 cal,1628 kJ,1 oz. (28 g),128 cal,536 kJ
Baking Ingredients,Coconut Milk,100ml,50 cal,210 kJ,1 cup (240 ml),120 cal,504 kJ,1 fl. oz. (30 ml),15 cal,63 kJ
Baking Ingredients,Corn Flour,100g,361 cal,1516 kJ,1 cup (117 g),422 cal,1774 kJ,1 oz. (28 g),101 cal,424 kJ
Baking Ingredients,Corn Syrup,100ml,281 cal,1180 kJ,1 tbsp (19 ml),53 cal,224 kJ,1 fl. oz. (30 ml),84 cal,354 kJ
Baking Ingredients,Cornmeal,100g,362 cal,1520 kJ,1 cup (138 g),500 cal,2098 kJ,1 oz. (28 g),101 cal,426 kJ
Baking Ingredients,Cornstarch,100g,381 cal,1600 kJ,1 cup (128 g),488 cal,2048 kJ,1 oz. (28 g),107 cal,448 kJ
Baking Ingredients,Couverture,100g,600 cal,2520 kJ,1 oz. (28.4 g),168 cal,706 kJ,1 oz. (28 g),168 cal,706 kJ
Baking Ingredients,Cream Cheese,100g,54 cal,227 kJ,1 serving (20 g),11 cal,45 kJ,1 oz. (28 g),15 cal,64 kJ
Baking Ingredients,Cream of Tartar,100g,258 cal,1084 kJ,1 tbsp (15 g),39 cal,163 kJ,1 oz. (28 g),72 cal,304 kJ
Baking Ingredients,Crystallized Ginger,100g,335 cal,1407 kJ,1 tbsp (5.2 g),17 cal,70 kJ,1 oz. (28 g),94 cal,394 kJ
Baking Ingredients,Custard Powder,100g,337 cal,1415 kJ,1 tbsp (17.5 g),57 cal,241 kJ,1 oz. (28 g),94 cal,396 kJ
Baking Ingredients,Dark Rum,100ml,216 cal,907 kJ,1 fl. oz. (28 ml),60 cal,254 kJ,1 fl. oz. (30 ml),65 cal,272 kJ
Baking Ingredients,Dextrose,100g,375 cal,1575 kJ,1 tsp (3.2 g),11 cal,47 kJ,1 oz. (28 g),105 cal,441 kJ
Baking Ingredients,Dried Apricots,100g,241 cal,1012 kJ,"1 cup, halves (130 g)",313 cal,1316 kJ,1 oz. (28 g),67 cal,283 kJ
Baking Ingredients,Dried Cranberries,100g,308 cal,1294 kJ,1/3 cup (40 g),123 cal,518 kJ,1 oz. (28 g),86 cal,362 kJ
Baking Ingredients,Dried Figs,100g,249 cal,1046 kJ,1 fig (8.4 g),20 cal,84 kJ,1 oz. (28 g),70 cal,293 kJ
Baking Ingredients,Dried Prunes,100g,107 cal,449 kJ,"1 cup, pitted (248 g)",265 cal,1114 kJ,1 oz. (28 g),30 cal,126 kJ
Baking Ingredients,Duck Egg,100g,185 cal,777 kJ,1 egg (70 g),130 cal,544 kJ,1 oz. (28 g),52 cal,218 kJ
Baking Ingredients,Egg,100g,97 cal,407 kJ,1 egg (60 g),58 cal,244 kJ,1 oz. (28 g),27 cal,114 kJ
Baking Ingredients,Egg Nog,100g,88 cal,370 kJ,1 cup (254 g),224 cal,940 kJ,1 oz. (28 g),25 cal,104 kJ
Baking Ingredients,Egg White,100g,13 cal,55 kJ,1 egg white (25 g),3 cal,14 kJ,1 oz. (28 g),4 cal,15 kJ
Baking Ingredients,Egg Yolk,100g,322 cal,1352 kJ,1 egg yolk (16 g),52 cal,216 kJ,1 oz. (28 g),90 cal,379 kJ
Baking Ingredients,Evaporated Milk,100g,134 cal,563 kJ,1 cup (252 g),338 cal,1419 kJ,1 oz. (28 g),38 cal,158 kJ
Baking Ingredients,Flour,100g,364 cal,1529 kJ,1 cup (120 g),437 cal,1835 kJ,1 oz. (28 g),102 cal,428 kJ
Baking Ingredients,Fructose,100g,368 cal,1546 kJ,1 tsp (4 g),15 cal,62 kJ,1 oz. (28 g),103 cal,433 kJ
Baking Ingredients,Gelatin,100g,335 cal,1407 kJ,1 tbsp (7 g),23 cal,98 kJ,1 oz. (28 g),94 cal,394 kJ
Baking Ingredients,Glucose,100g,286 cal,1201 kJ,1 tbsp (20 g),57 cal,240 kJ,1 oz. (28 g),80 cal,336 kJ
Baking Ingredients,Glucose Syrup,100g,387 cal,1625 kJ,1 oz. (28.4 g),108 cal,455 kJ,1 oz. (28 g),108 cal,455 kJ
Baking Ingredients,Granulated Sugar,100g,387 cal,1625 kJ,1 packet (2.8 g),8 cal,33 kJ,1 oz. (28 g),108 cal,455 kJ
Baking Ingredients,Ground Cinnamon,100g,247 cal,1037 kJ,1 tsp (2.6 g),5 cal,21 kJ,1 oz. (28 g),69 cal,290 kJ
Baking Ingredients,Hazelnuts,100g,628 cal,2638 kJ,"1 cup, ground (75 g)",471 cal,1979 kJ,1 oz. (28 g),176 cal,739 kJ
Baking Ingredients,Heavy Cream,100g,345 cal,1449 kJ,"1 cup, whipped (120 g)",414 cal,1739 kJ,1 oz. (28 g),97 cal,406 kJ
Baking Ingredients,Jaggery,100g,383 cal,1609 kJ,1 tbsp (12 g),46 cal,193 kJ,1 oz. (28 g),107 cal,451 kJ
Baking Ingredients,Lemon Pie Filling,100g,143 cal,601 kJ,1 oz. (28.4 g),40 cal,168 kJ,1 oz. (28 g),40 cal,168 kJ
Baking Ingredients,Malt Powder,100g,361 cal,1516 kJ,1 cup (162 g),585 cal,2456 kJ,1 oz. (28 g),101 cal,424 kJ
Baking Ingredients,Malted Milk,100g,405 cal,1701 kJ,1 tbsp (7 g),28 cal,119 kJ,1 oz. (28 g),113 cal,476 kJ
Baking Ingredients,Maltitol,100g,210 cal,882 kJ,1 tsp (4.5 g),8 cal,35 kJ,1 oz. (28 g),59 cal,247 kJ
Baking Ingredients,Maltodextrin,100g,375 cal,1575 kJ,1 tsp (3.2 g),11 cal,47 kJ,1 oz. (28 g),105 cal,441 kJ
Baking Ingredients,Maltose,100g,344 cal,1445 kJ,1 tbsp (13 g),45 cal,188 kJ,1 oz. (28 g),96 cal,405 kJ
Baking Ingredients,Maple Syrup,100ml,270 cal,1134 kJ,60 millilitre (80 ml),216 cal,907 kJ,1 fl. oz. (30 ml),81 cal,340 kJ
Baking Ingredients,Molasses,100g,290 cal,1218 kJ,1 cup (337 g),977 cal,4105 kJ,1 oz. (28 g),81 cal,341 kJ
Baking Ingredients,Nonpareils,100g,475 cal,1995 kJ,1 tbsp (5 g),24 cal,100 kJ,1 oz. (28 g),133 cal,559 kJ
Baking Ingredients,Peppermint Extract,100ml,0 cal,0 kJ,1 tsp (5 ml),0 cal,0 kJ,1 fl. oz. (30 ml),0 cal,0 kJ
Baking Ingredients,Poppy Seeds,100g,525 cal,2205 kJ,1 tbsp (8.8 g),42 cal,176 kJ,1 oz. (28 g),147 cal,617 kJ
Baking Ingredients,Powdered Milk,100g,496 cal,2083 kJ,1 cup (68 g),337 cal,1416 kJ,1 oz. (28 g),139 cal,583 kJ
Baking Ingredients,Powdered Sugar,100g,389 cal,1634 kJ,"1 cup, unsifted (120 g)",467 cal,1961 kJ,1 oz. (28 g),109 cal,458 kJ
Baking Ingredients,Protein Powder,100g,411 cal,1726 kJ,1 tbsp (11 g),45 cal,190 kJ,1 oz. (28 g),115 cal,483 kJ
Baking Ingredients,Raisins,100g,474 cal,1991 kJ,1 cup (165 g),782 cal,3285 kJ,1 oz. (28 g),133 cal,557 kJ
Baking Ingredients,Rice Milk,100ml,49 cal,206 kJ,1 cup (245 ml),120 cal,505 kJ,1 fl. oz. (30 ml),15 cal,62 kJ
Baking Ingredients,Rock Sugar,100g,625 cal,2625 kJ,1 tsp (4 g),25 cal,105 kJ,1 oz. (28 g),175 cal,735 kJ
Baking Ingredients,Rolled Oats,100g,384 cal,1613 kJ,1 cup (156 g),599 cal,2516 kJ,1 oz. (28 g),108 cal,452 kJ
Baking Ingredients,Rum,100ml,246 cal,1033 kJ,1 serving (40 ml),98 cal,413 kJ,1 fl. oz. (30 ml),74 cal,310 kJ
Baking Ingredients,Semolina Flour,100g,350 cal,1470 kJ,1 cup (120 g),420 cal,1764 kJ,1 oz. (28 g),98 cal,412 kJ
Baking Ingredients,Sesame Seeds,100g,573 cal,2407 kJ,1 cup (144 g),825 cal,3466 kJ,1 oz. (28 g),160 cal,674 kJ
Baking Ingredients,Shredded Coconut,100g,501 cal,2104 kJ,1 cup (93 g),466 cal,1957 kJ,1 oz. (28 g),140 cal,589 kJ
Baking Ingredients,Sorbitol,100g,375 cal,1575 kJ,1 tsp (4 g),15 cal,63 kJ,1 oz. (28 g),105 cal,441 kJ
Baking Ingredients,Soy Milk,100ml,41 cal,172 kJ,1 cup (243 ml),100 cal,418 kJ,1 fl. oz. (30 ml),12 cal,52 kJ
Baking Ingredients,Soy Protein Powder,100g,338 cal,1420 kJ,1 oz. (28.4 g),95 cal,398 kJ,1 oz. (28 g),95 cal,398 kJ
Baking Ingredients,Sprinkles,100g,500 cal,2100 kJ,1 tsp (2 g),10 cal,42 kJ,1 oz. (28 g),140 cal,588 kJ
